project_id,project_name,reference_genome,bfbarchitect_mode,expected_amplicons,classified_amplicons,status,started_at_utc,finished_at_utc,elapsed_seconds,exit_code,error
6877011e9d695229b2cc3d50,20250716_PC3_DM/HSR_COLO320DM/HSR,GRCh38,disabled,35,35,REUSED_COMPLETE,,,,,
68873ecfbd99deeaf7291cfc,20250728-test,GRCh38,disabled,48,48,REUSED_COMPLETE,,,,,
68f70d9558a7eafbdde3d081,20251017_testing_SRR28999682_import_form_GenePattern,GRCh38,disabled,9,9,REUSED_COMPLETE,,,,,
6a5a4a116b83a17ac9586742,AmpliconSuite benchmarking set hg19,GRCh37,disabled,11,11,REUSED_COMPLETE,,,,,
6a5a4a970664f9111b586742,AmpliconSuite benchmarking set hg38,GRCh38,disabled,337,337,REUSED_COMPLETE,,,,,
6a5a432efaab0afcb5586742,CCLE,GRCh38,disabled,1116,1116,REUSED_COMPLETE,,,,,
6a5ea3812d06835f94b0da93,COLO320 DM & HSR hg38,GRCh38,disabled,13,13,REUSED_COMPLETE,,,,,
6a5ea3b3a3e5a9da5eb0db36,COLO320DM hg19,hg19,disabled,4,4,REUSED_COMPLETE,,,,,
6a581fe4b219fa804843a951,CoRAL cell lines,GRCh38,disabled,112,112,REUSED_COMPLETE,,,,,
6a5be6cd5bcd8f807e207525,CUGA,GRCh38,disabled,3399,3399,REUSED_COMPLETE,,,,,
6a5e9f776714848c8db0da93,DCIS - Chmelova,GRCh38,disabled,222,222,REUSED_COMPLETE,,,,,
6a2dc36c878e7ed917ee200a,DCIS - Chmelova Interphase FISH comparison samples,GRCh38,disabled,23,23,REUSED_COMPLETE,,,,,
6a5ea06aba6d1e35e3b0da94,ec3D,GRCh38,disabled,19,19,REUSED_COMPLETE,,,,,
6a5ea1b5ba6d1e35e3b0dc41,"ecDNA replication - Tang, Weiser, Wang, et al. 2024",GRCh38,disabled,66,66,REUSED_COMPLETE,,,,,
6a5e9fa67be58fdc78b0da94,GBM39,hg19,disabled,1,1,REUSED_COMPLETE,,,,,
6a5a559851b225cd74586742,GLASS,GRCh37,disabled,837,837,REUSED_COMPLETE,,,,,
6a5a946971bfe99e4bd6e7b0,Hartwig Medical Foundation - HMF,GRCh37,disabled,7874,7874,REUSED_COMPLETE,,,,,
6a5ea18b6714848c8db0e8f5,HCC827,GRCh38,disabled,55,55,REUSED_COMPLETE,,,,,
6542d245bba7c9250951ba68,Medulloblastoma GRCh37 subset,GRCh37,disabled,894,894,REUSED_COMPLETE,,,,,
6542c25fbba7c9250951ac56,Medulloblastoma hg38 subset,GRCh38,disabled,196,196,REUSED_COMPLETE,,,,,
6a5ea1a0be3bb2d472b0da94,Nakagawa human-viral HPV analysis,GRCh38_viral,disabled,30,30,REUSED_COMPLETE,,,,,
6a5a7edc6b83a17ac958761e,PCAWG,GRCh37,disabled,2940,2940,REUSED_COMPLETE,,,,,
6a5a8b365abd0ddfd1d6e7af,PCAWG unfiltered,GRCh37,disabled,3550,3550,REUSED_COMPLETE,,,,,
69c59d0cd69472646656266f,Pediatric Pancancer,GRCh38,disabled,1144,1144,REUSED_COMPLETE,,,,,
6a5ea1dca3e5a9da5eb0da93,Pradella et al. engineered murine Mdm2 ecDNA,mm10,disabled,12,12,REUSED_COMPLETE,,,,,
6a5ea2166714848c8db0f348,Pradella et al. engineered murine Myc ecDNA,mm10,disabled,12,12,REUSED_COMPLETE,,,,,
68897e411267c1acc9c560d1,Prostate cancer cell and colorectal cancer cell line,GRCh38,disabled,42,42,REUSED_COMPLETE,,,,,
6a2dc24c98518be19dee2005,Shoshani 2021,GRCh37,disabled,412,412,REUSED_COMPLETE,,,,,
6a5a4f41f0fb4735a8586742,TCGA,GRCh37,disabled,202,202,REUSED_COMPLETE,,,,,
6a5ce1ed0847fe8050911f5a,TCGA unfiltered,GRCh38,disabled,3936,3936,REUSED_COMPLETE,,,,,
6a5ea0fcfc8924825fb10842,TR14,GRCh38,disabled,3,3,REUSED_COMPLETE,,,,,
6a5ea005fc8924825fb0da93,Turner 2017 cell lines,GRCh38,disabled,588,588,REUSED_COMPLETE,,,,,
