sample,amplicon,lwcn,classification
SRR28999682,amplicon10,0,Linear
SRR28999682,amplicon11,0,Linear
SRR28999682,amplicon12,0,Linear
SRR28999682,amplicon13,0,Linear
SRR28999682,amplicon14,0,Linear
SRR28999682,amplicon1,0,Linear
SRR28999682,amplicon2,0,Complex-non-cyclic
SRR28999682,amplicon3,0,Linear
SRR28999682,amplicon4,14011649.2295,Cyclic
SRR28999682,amplicon5,0,Linear
SRR28999682,amplicon6,0,Linear
SRR28999682,amplicon7,0,Linear
SRR28999682,amplicon8,0,Linear
SRR28999682,amplicon9,0,Linear
SRR28999683,amplicon10,0,Linear
SRR28999683,amplicon11,1519615.04854,Complex-non-cyclic
SRR28999683,amplicon12,0,Linear
SRR28999683,amplicon1,0,Linear
SRR28999683,amplicon2,0,Linear
SRR28999683,amplicon3,0,Linear
SRR28999683,amplicon4,0,Linear
SRR28999683,amplicon5,34220338.7525,Cyclic
SRR28999683,amplicon6,0,Linear
SRR28999683,amplicon7,0,Linear
SRR28999683,amplicon8,0,Linear
SRR28999683,amplicon9,0,Linear
SRR8236746,amplicon1,0,Linear
SRR8236746,amplicon2,221974.963504,Complex-non-cyclic
SRR8236746,amplicon3,4678964.72584,Cyclic
SRR8236746,amplicon4,316908312.139,Cyclic
SRR8236746,amplicon5,0,Linear
SRR9157088,amplicon1,7637.24033558,Linear
SRR9157088,amplicon2,5818716.86138,Cyclic
SRR9157088,amplicon3,992331.821196,Complex-non-cyclic
SRR9157088,amplicon4,25546795.3479,Cyclic
SRR28999682,amplicon10,0,Linear
SRR28999682,amplicon11,0,Linear
SRR28999682,amplicon12,0,Linear
SRR28999682,amplicon13,0,Linear
SRR28999682,amplicon14,0,Linear
SRR28999682,amplicon15,0,Linear
SRR28999682,amplicon16,0,Linear
SRR28999682,amplicon17,0,Linear
SRR28999682,amplicon1,0,Linear
SRR28999682,amplicon2,0,Linear
SRR28999682,amplicon3,0,Linear
SRR28999682,amplicon4,0,Linear
SRR28999682,amplicon5,38624391.2253,Cyclic
SRR28999682,amplicon6,0,Linear
SRR28999682,amplicon7,0,Linear
SRR28999682,amplicon8,0,Linear
SRR28999682,amplicon9,0,Linear
SRR28999683,amplicon10,0,Linear
SRR28999683,amplicon11,0,Linear
SRR28999683,amplicon12,0,Linear
SRR28999683,amplicon13,0,Linear
SRR28999683,amplicon14,0,Linear
SRR28999683,amplicon15,0,Linear
SRR28999683,amplicon1,0,Linear
SRR28999683,amplicon2,0,Linear
SRR28999683,amplicon3,0,Linear
SRR28999683,amplicon4,0,Linear
SRR28999683,amplicon5,12993243.8561,Cyclic
SRR28999683,amplicon6,0,Linear
SRR28999683,amplicon7,0,Linear
SRR28999683,amplicon8,0,Linear
SRR28999683,amplicon9,0,Linear
SRR8652045,amplicon1,134800021.607,Cyclic
SRR8652045,amplicon2,0,Linear
SRR8652056,amplicon1,0,Linear
SRR8652148,amplicon1,0,Linear
SRR8652148,amplicon2,1077393.27532,Cyclic
SRR8652148,amplicon3,0,Linear
SRR8652148,amplicon4,0,No-FSCNA
SRR8652148,amplicon5,0,No-FSCNA
SRR8670688,amplicon1,0,Linear
SRR8670688,amplicon2,63318192.3481,Cyclic
SRR8670701,amplicon1,241095902.94,Cyclic
SRR8670701,amplicon2,33725.6170843,Complex-non-cyclic
SRR9157088,amplicon1,7637.24033558,Linear
SRR9157088,amplicon2,5818716.86138,Cyclic
SRR9157088,amplicon3,992331.821196,Complex-non-cyclic
SRR9157088,amplicon4,25546795.3479,Cyclic
SRR28999682_20251017,amplicon1,0,Linear
SRR28999682_20251017,amplicon2,159872.579381,Complex-non-cyclic
SRR28999682_20251017,amplicon3,65394017.2532,Cyclic
SRR28999682_20251017,amplicon4,19340063.8669,Complex-non-cyclic
SRR28999682_20251017,amplicon5,356248.010369,Complex-non-cyclic
SRR28999682_20251017,amplicon6,0,Linear
SRR28999682_20251017,amplicon7,0,Linear
SRR28999682_20251017,amplicon8,209830.242478,Linear
SRR28999682_20251017,amplicon9,13256812.0417,Cyclic
HF-2354-61-09D,amplicon1,25113139.8688,Cyclic
HF-2927-60-19D,amplicon1,25608387.1123,Cyclic
HF-3016-61-12D,amplicon1,96856438.4556,Cyclic
HF-3035-01-06D,amplicon1,11281017.5926,Cyclic
HF-3055-61-15D,amplicon1,176622591.029,Cyclic
HF-3077-01-08D,amplicon1,2054064.35018,Cyclic
HF-3177-01-01D,amplicon1,97457098.006,Cyclic
HF-3178-60-01D,amplicon1,58945600.4126,Cyclic
HF-3178-60-01D,amplicon2,39221493.5424,Cyclic
HF-3253-01-01D,amplicon1,147497.556294,Cyclic
HF-3253-01-01D,amplicon2,7207190.45984,Cyclic
BT474,amplicon10,9380.78021406,Linear
BT474,amplicon11,7135985.80707,Complex-non-cyclic
BT474,amplicon12,0,Linear
BT474,amplicon13,0,Linear
BT474,amplicon1,0,Linear
BT474,amplicon2,0,Linear
BT474,amplicon3,0,Linear
BT474,amplicon4,1067196.1747,Cyclic
BT474,amplicon5,0,Complex-non-cyclic
BT474,amplicon6,204679616.261,Cyclic
BT474,amplicon7,0,Linear
BT474,amplicon8,0,Complex-non-cyclic
BT474,amplicon9,4078119.4415,Cyclic
CA718,amplicon1,188487076.242,Cyclic
CCFSTTG1,amplicon1,37493875.5686,Cyclic
CCFSTTG1,amplicon2,97032406.306,Cyclic
CCFSTTG1,amplicon3,0,Linear
CHP212,amplicon1,151823362.263,Cyclic
COLO205,amplicon1,0,Linear
COLO205,amplicon2,20011.7941887,Linear
COLO205,amplicon3,0,Linear
COLO205,amplicon4,0,Linear
COLO205,amplicon5,0,Linear
COLO205,amplicon6,0,Linear
COLO205,amplicon7,0,Linear
COLO320DM,amplicon1,0,Linear
COLO320DM,amplicon2,1267049.17367,Complex-non-cyclic
COLO320DM,amplicon3,1469708.39908,Complex-non-cyclic
COLO320DM,amplicon4,336008089.851,Cyclic
COLO320DM,amplicon5,0,Linear
COLO320DM,amplicon6,35390.2983885,Complex-non-cyclic
COLO320DM,amplicon7,0,Linear
DLD1,amplicon1,0,Linear
DMS114,amplicon1,0,Linear
DMS114,amplicon2,0,Linear
DMS114,amplicon3,6970200.59745,Cyclic
DMS114,amplicon4,0,Linear
DMS114,amplicon5,22581825.6552,Cyclic
DMS114,amplicon6,0,Linear
DMS114,amplicon7,0,Linear
DMS114,amplicon8,0,No-FSCNA
DMS273,amplicon1,197762809.445,Cyclic
DMS273,amplicon2,0,Linear
DU145,amplicon1,0,Linear
DU145,amplicon2,0,Linear
DU145,amplicon3,0,Linear
DU145,amplicon4,0,Linear
DU145,amplicon5,0,Linear
DU145,amplicon6,0,Linear
DU145,amplicon7,0,Linear
DU145,amplicon8,0,Linear
EKVX,amplicon1,0,Linear
EKVX,amplicon2,1472010.63182,Linear
EKVX,amplicon3,0,Linear
EKVX,amplicon4,0,Linear
EKVX,amplicon5,0,Linear
EKVX,amplicon6,0,Linear
EKVX,amplicon7,0,Linear
EKVX,amplicon8,0,Linear
EKVX,amplicon9,0,Linear
GBM39,amplicon1,0,Linear
GBM39,amplicon2,134911939.115,Cyclic
GBM6,amplicon1,161293857.459,Cyclic
GSC11,amplicon1,0,Complex-non-cyclic
GSC11,amplicon2,0,No-FSCNA
H1792,amplicon10,0,Linear
H1792,amplicon11,0,Linear
H1792,amplicon12,0,Linear
H1792,amplicon13,0,Linear
H1792,amplicon14,21166.5161282,Complex-non-cyclic
H1792,amplicon1,124707679.812,Cyclic
H1792,amplicon2,2727543.00258,Cyclic
H1792,amplicon3,0,Linear
H1792,amplicon4,0,Linear
H1792,amplicon5,2167543.79043,Complex-non-cyclic
H1792,amplicon6,1289.12768305,Complex-non-cyclic
H1792,amplicon7,0,Linear
H1792,amplicon8,34081.8209783,Linear
H1792,amplicon9,1121565.02898,Cyclic
H23,amplicon1,0,Linear
H23,amplicon2,10918288.1044,Linear
H322M,amplicon1,0,Linear
H322M,amplicon2,0,Linear
