sample,amplicon,lwcn,classification
6542c25fbba7c9250951ac56::092297b2-021d-4145-96ce-ef2400e32f89,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::0984082c-8ea3-4d8c-a407-ef859bb1feb5,amplicon1,0,Linear
6542c25fbba7c9250951ac56::0d602801-6346-43bc-90cd-831a9c880c06,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::1ffcb945-473f-4aa7-8885-4727645d577e,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::231f3471-d53d-4977-898f-4fdce95c27e2,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::2ccee741-28aa-4f15-ba2d-51956548d114,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::2ccee741-28aa-4f15-ba2d-51956548d114,amplicon2,0.243657812443,No-FSCNA
6542c25fbba7c9250951ac56::2ccee741-28aa-4f15-ba2d-51956548d114,amplicon3,0,No-FSCNA
6542c25fbba7c9250951ac56::300c6b04-067a-4f61-9079-0b7a445a402e,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::415c4bb3-81e0-4e04-8a92-fd9f13fe45ed,amplicon1,0.624252729805,Cyclic
6542c25fbba7c9250951ac56::415c4bb3-81e0-4e04-8a92-fd9f13fe45ed,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::42be449d-403e-4a98-8dee-cc551d328d68,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::42be449d-403e-4a98-8dee-cc551d328d68,amplicon10,0,No-FSCNA
6542c25fbba7c9250951ac56::42be449d-403e-4a98-8dee-cc551d328d68,amplicon2,0.00734227515918,Linear
6542c25fbba7c9250951ac56::42be449d-403e-4a98-8dee-cc551d328d68,amplicon3,0.300913302178,No-FSCNA
6542c25fbba7c9250951ac56::42be449d-403e-4a98-8dee-cc551d328d68,amplicon4,0.00329653326793,Complex-non-cyclic
6542c25fbba7c9250951ac56::42be449d-403e-4a98-8dee-cc551d328d68,amplicon5,0.0230349600083,Linear
6542c25fbba7c9250951ac56::42be449d-403e-4a98-8dee-cc551d328d68,amplicon6,0.00118124428707,Linear
6542c25fbba7c9250951ac56::42be449d-403e-4a98-8dee-cc551d328d68,amplicon7,0,No-FSCNA
6542c25fbba7c9250951ac56::42be449d-403e-4a98-8dee-cc551d328d68,amplicon8,0,No-FSCNA
6542c25fbba7c9250951ac56::42be449d-403e-4a98-8dee-cc551d328d68,amplicon9,0,No-FSCNA
6542c25fbba7c9250951ac56::43441b48-71ed-49e5-9a8e-47e981da5308,amplicon1,0.902366037262,Cyclic
6542c25fbba7c9250951ac56::4973aa4a-1193-4a9c-83ac-7bd8234cbf10,amplicon1,0.786272469669,Cyclic
6542c25fbba7c9250951ac56::4b8f9e98-5f4b-4f15-8281-ed71c0587d81,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::4f217025-edcf-4b9a-ac62-c27c8df15a66,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::4f217025-edcf-4b9a-ac62-c27c8df15a66,amplicon2,0,No-FSCNA
