project_id,record_count,ecdna_positive_count,ecdna_negative_count,screen_positive_count,confusion_matrix,sensitivity,specificity,precision,negative_predictive_value,accuracy,roc_auc_ratio,average_precision_ratio,best_in_sample_accuracy,best_accuracy_threshold_ge,best_in_sample_f1,best_f1_threshold_ge
6542c25fbba7c9250951ac56,196,35,161,79,"{'TP': 35, 'FN': 0, 'FP': 44, 'TN': 117}",1.0,0.7267080745341615,0.4430379746835443,1.0,0.7755102040816326,0.9758651286601596,0.9014932769164605,0.9540816326530612,0.549911604993,0.8767123287671234,0.549911604993
6542d245bba7c9250951ba68,894,46,848,189,"{'TP': 46, 'FN': 0, 'FP': 143, 'TN': 705}",1.0,0.8313679245283019,0.24338624338624337,1.0,0.8400447427293065,0.9788248564397046,0.7424968658704167,0.9697986577181208,0.658227268827,0.6436781609195402,0.492264317094
6877011e9d695229b2cc3d50,35,4,31,10,"{'TP': 4, 'FN': 0, 'FP': 6, 'TN': 25}",1.0,0.8064516129032258,0.4,1.0,0.8285714285714286,0.9596774193548386,0.7333333333333333,0.9428571428571428,0.11124665618,0.8,0.11124665618
68873ecfbd99deeaf7291cfc,48,7,41,11,"{'TP': 7, 'FN': 0, 'FP': 4, 'TN': 37}",1.0,0.9024390243902439,0.6363636363636364,1.0,0.9166666666666666,0.9825783972125436,0.8736394557823128,0.9791666666666666,0.108296335981,0.9333333333333333,0.108296335981
68897e411267c1acc9c560d1,42,4,38,4,"{'TP': 4, 'FN': 0, 'FP': 0, 'TN': 38}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.108296335981,1.0,0.108296335981
68f70d9558a7eafbdde3d081,9,2,7,6,"{'TP': 2, 'FN': 0, 'FP': 4, 'TN': 3}",1.0,0.42857142857142855,0.3333333333333333,1.0,0.5555555555555556,1.0,1.0,1.0,0.384689281585,1.0,0.384689281585
69c59d0cd69472646656266f,1144,300,844,618,"{'TP': 299, 'FN': 1, 'FP': 319, 'TN': 525}",0.9966666666666667,0.6220379146919431,0.48381877022653724,0.9980988593155894,0.7202797202797203,0.9532345971563981,0.8495153898241345,0.8977272727272727,0.535241485117,0.8134556574923547,0.295231591342
6a2dc24c98518be19dee2005,412,84,328,146,"{'TP': 84, 'FN': 0, 'FP': 62, 'TN': 266}",1.0,0.8109756097560976,0.5753424657534246,1.0,0.8495145631067961,0.9720528455284554,0.863957556545554,0.941747572815534,0.28605134272,0.8681318681318683,0.28605134272
6a2dc36c878e7ed917ee200a,23,4,19,17,"{'TP': 4, 'FN': 0, 'FP': 13, 'TN': 6}",1.0,0.3157894736842105,0.23529411764705882,1.0,0.43478260869565216,0.8157894736842105,0.42424242424242425,0.8260869565217391,1.872797443331,0.6,0.439563189973
6a581fe4b219fa804843a951,112,21,91,39,"{'TP': 21, 'FN': 0, 'FP': 18, 'TN': 73}",1.0,0.8021978021978022,0.5384615384615384,1.0,0.8392857142857143,0.9618001046572476,0.8435433449287175,0.9285714285714286,0.780315263191,0.8095238095238095,0.780315263191
