project_id,project_name,expected_amplicons,solved_amplicons,status,elapsed_seconds,finished_at_utc,error_count,errors
6877011e9d695229b2cc3d50,20250716_PC3_DM/HSR_COLO320DM/HSR,35,35,COMPLETE,0.608,2026-08-30T07:54:01+00:00,0,
68873ecfbd99deeaf7291cfc,20250728-test,48,48,COMPLETE,0.598,2026-08-30T07:54:01+00:00,0,
68f70d9558a7eafbdde3d081,20251017_testing_SRR28999682_import_form_GenePattern,9,9,COMPLETE,0.469,2026-08-30T07:54:02+00:00,0,
6a5a4a116b83a17ac9586742,AmpliconSuite benchmarking set hg19,11,11,COMPLETE,0.486,2026-08-30T07:54:02+00:00,0,
6a5a4a970664f9111b586742,AmpliconSuite benchmarking set hg38,337,337,COMPLETE,0.799,2026-08-30T07:54:03+00:00,0,
6a5a432efaab0afcb5586742,CCLE,1116,1116,COMPLETE,1.137,2026-08-30T07:54:04+00:00,0,
6a5ea3812d06835f94b0da93,COLO320 DM & HSR hg38,13,13,COMPLETE,0.519,2026-08-30T07:54:05+00:00,0,
6a5ea3b3a3e5a9da5eb0db36,COLO320DM hg19,4,4,COMPLETE,0.448,2026-08-30T07:54:05+00:00,0,
6a581fe4b219fa804843a951,CoRAL cell lines,112,112,COMPLETE,0.711,2026-08-30T07:54:06+00:00,0,
6a5be6cd5bcd8f807e207525,CUGA,3399,3399,COMPLETE,1.847,2026-08-30T07:54:08+00:00,0,
6a5e9f776714848c8db0da93,DCIS - Chmelova,222,222,COMPLETE,0.85,2026-08-30T07:54:09+00:00,0,
6a2dc36c878e7ed917ee200a,DCIS - Chmelova Interphase FISH comparison samples,23,23,COMPLETE,0.525,2026-08-30T07:54:10+00:00,0,
6a5ea06aba6d1e35e3b0da94,ec3D,19,19,COMPLETE,0.501,2026-08-30T07:54:10+00:00,0,
6a5ea1b5ba6d1e35e3b0dc41,"ecDNA replication - Tang, Weiser, Wang, et al. 2024",66,66,COMPLETE,0.69,2026-08-30T07:54:11+00:00,0,
6a5e9fa67be58fdc78b0da94,GBM39,1,1,COMPLETE,0.456,2026-08-30T07:54:11+00:00,0,
6a5a559851b225cd74586742,GLASS,837,837,COMPLETE,0.949,2026-08-30T07:54:12+00:00,0,
6a5a946971bfe99e4bd6e7b0,Hartwig Medical Foundation - HMF,7874,7874,COMPLETE,3.424,2026-08-30T07:54:17+00:00,0,
6a5ea18b6714848c8db0e8f5,HCC827,55,55,COMPLETE,0.62,2026-08-30T07:54:17+00:00,0,
6542d245bba7c9250951ba68,Medulloblastoma GRCh37 subset,894,894,COMPLETE,0.941,2026-08-30T07:54:18+00:00,0,
6542c25fbba7c9250951ac56,Medulloblastoma hg38 subset,196,196,COMPLETE,0.767,2026-08-30T07:54:19+00:00,0,
6a5ea1a0be3bb2d472b0da94,Nakagawa human-viral HPV analysis,30,30,COMPLETE,0.528,2026-08-30T07:54:20+00:00,0,
6a5a7edc6b83a17ac958761e,PCAWG,2940,2940,COMPLETE,1.871,2026-08-30T07:54:22+00:00,0,
6a5a8b365abd0ddfd1d6e7af,PCAWG unfiltered,3550,3550,COMPLETE,2.124,2026-08-30T07:54:25+00:00,0,
69c59d0cd69472646656266f,Pediatric Pancancer,1144,1144,COMPLETE,1.172,2026-08-30T07:54:26+00:00,0,
6a5ea1dca3e5a9da5eb0da93,Pradella et al. engineered murine Mdm2 ecDNA,12,12,COMPLETE,0.495,2026-08-30T07:54:27+00:00,0,
6a5ea2166714848c8db0f348,Pradella et al. engineered murine Myc ecDNA,12,12,COMPLETE,0.489,2026-08-30T07:54:27+00:00,0,
68897e411267c1acc9c560d1,Prostate cancer cell and colorectal cancer cell line,42,42,COMPLETE,0.563,2026-08-30T07:54:28+00:00,0,
6a2dc24c98518be19dee2005,Shoshani 2021,412,412,COMPLETE,0.864,2026-08-30T07:54:28+00:00,0,
6a5a4f41f0fb4735a8586742,TCGA,202,202,COMPLETE,1.113,2026-08-30T07:54:30+00:00,0,
6a5ce1ed0847fe8050911f5a,TCGA unfiltered,3936,3936,COMPLETE,6.239,2026-08-30T07:54:36+00:00,0,
6a5ea0fcfc8924825fb10842,TR14,3,3,COMPLETE,0.487,2026-08-30T07:54:37+00:00,0,
6a5ea005fc8924825fb0da93,Turner 2017 cell lines,588,588,COMPLETE,0.889,2026-08-30T07:54:38+00:00,0,
