sample,amplicon,lwcn,classification
6a581fe4b219fa804843a951::BT474,amplicon1,0,Linear
6a581fe4b219fa804843a951::BT474,amplicon10,0,Linear
6a581fe4b219fa804843a951::BT474,amplicon11,0,Linear
6a581fe4b219fa804843a951::BT474,amplicon2,0.125681125285,Complex-non-cyclic
6a581fe4b219fa804843a951::BT474,amplicon3,0,Linear
6a581fe4b219fa804843a951::BT474,amplicon4,0.562942446608,Complex-non-cyclic
6a581fe4b219fa804843a951::BT474,amplicon5,0,Linear
6a581fe4b219fa804843a951::BT474,amplicon6,0,Linear
6a581fe4b219fa804843a951::BT474,amplicon7,0,Complex-non-cyclic
6a581fe4b219fa804843a951::BT474,amplicon8,0,Linear
6a581fe4b219fa804843a951::BT474,amplicon9,0.0459381604434,Complex-non-cyclic
6a581fe4b219fa804843a951::CHP212,amplicon1,0.981738661509,Cyclic
6a581fe4b219fa804843a951::COLO320DM,amplicon1,0,Linear
6a581fe4b219fa804843a951::COLO320DM,amplicon2,0.284184137606,Cyclic
6a581fe4b219fa804843a951::COLO320DM,amplicon3,0.975118843099,Cyclic
6a581fe4b219fa804843a951::COLO320DM,amplicon4,0,Linear
6a581fe4b219fa804843a951::COLO320DM,amplicon5,0,No-FSCNA
6a581fe4b219fa804843a951::COLO320DM,amplicon6,0,Linear
6a581fe4b219fa804843a951::COLO320DM,amplicon7,0,Linear
6a581fe4b219fa804843a951::COLO320DM_Hung2021,amplicon1,0,Linear
6a581fe4b219fa804843a951::COLO320DM_Hung2021,amplicon2,0,No-FSCNA
6a581fe4b219fa804843a951::COLO320DM_Hung2021,amplicon3,0.962557249095,Cyclic
6a581fe4b219fa804843a951::COLO320DM_Hung2021,amplicon4,0,No-FSCNA
6a581fe4b219fa804843a951::COLO320DM_mono,amplicon1,0,Linear
6a581fe4b219fa804843a951::COLO320DM_mono,amplicon2,0,Linear
6a581fe4b219fa804843a951::COLO320DM_mono,amplicon3,0.481522066968,Complex-non-cyclic
6a581fe4b219fa804843a951::COLO320DM_mono,amplicon4,0.976265435058,Cyclic
6a581fe4b219fa804843a951::COLO320DM_mono,amplicon5,0,Linear
6a581fe4b219fa804843a951::COLO320DM_mono,amplicon6,0,Linear
6a581fe4b219fa804843a951::COLO320HSR,amplicon1,0,Complex-non-cyclic
6a581fe4b219fa804843a951::COLO320HSR,amplicon2,0,Linear
6a581fe4b219fa804843a951::COLO320HSR,amplicon3,0.29670249569,Cyclic
6a581fe4b219fa804843a951::COLO320HSR,amplicon4,0.965728801622,Invalid
6a581fe4b219fa804843a951::GBM39EC,amplicon1,0.946451111312,Cyclic
6a581fe4b219fa804843a951::GBM39EC_mono,amplicon1,0.954839786669,Cyclic
6a581fe4b219fa804843a951::GBM39HSR,amplicon1,0.780315263191,Cyclic
6a581fe4b219fa804843a951::GBM39HSR,amplicon2,0,No-FSCNA
6a581fe4b219fa804843a951::GBM39HSR,amplicon3,0,No-FSCNA
6a581fe4b219fa804843a951::GBM39HSR,amplicon4,0,Linear
6a581fe4b219fa804843a951::GBM39HSR,amplicon5,0,Linear
6a581fe4b219fa804843a951::GBM39HSR,amplicon6,0,Linear
6a581fe4b219fa804843a951::GBM39HSR,amplicon7,0,Linear
6a581fe4b219fa804843a951::GBM39HSR,amplicon8,0,Linear
6a581fe4b219fa804843a951::GBM39HSR,amplicon9,0,No-FSCNA
6a581fe4b219fa804843a951::H1437,amplicon1,0,Linear
6a581fe4b219fa804843a951::H1437,amplicon2,0,Complex-non-cyclic
6a581fe4b219fa804843a951::H1437_ul,amplicon1,0,Linear
6a581fe4b219fa804843a951::H1437_ul,amplicon2,0,Linear
6a581fe4b219fa804843a951::H1437_ul,amplicon3,0,Linear
6a581fe4b219fa804843a951::H1437_ul,amplicon4,0.0165061913041,Cyclic
6a581fe4b219fa804843a951::H1437_ul,amplicon5,0,Linear
6a581fe4b219fa804843a951::H1437_ul,amplicon6,0,No-FSCNA
6a581fe4b219fa804843a951::H1437_ul,amplicon7,0,No-FSCNA
6a581fe4b219fa804843a951::H2009,amplicon1,0,No-FSCNA
6a581fe4b219fa804843a951::H2009,amplicon2,0,Linear
6a581fe4b219fa804843a951::H2170,amplicon1,0.94296832919,Cyclic
6a581fe4b219fa804843a951::H2170,amplicon2,0.985977752111,Cyclic
6a581fe4b219fa804843a951::H2170,amplicon3,0.00570050450366,Complex-non-cyclic
6a581fe4b219fa804843a951::HCC1395,amplicon1,0.39132840195,Cyclic
6a581fe4b219fa804843a951::HCC1937,amplicon1,0.272381554844,Cyclic
6a581fe4b219fa804843a951::HCC1937_ul,amplicon1,0.243230842211,Cyclic
6a581fe4b219fa804843a951::HCC1937_ul,amplicon2,0,No-FSCNA
6a581fe4b219fa804843a951::HCC1954,amplicon1,0.631677049984,Complex-non-cyclic
6a581fe4b219fa804843a951::HCC1954,amplicon10,0,No-FSCNA
6a581fe4b219fa804843a951::HCC1954,amplicon11,0.971863639323,No-FSCNA
6a581fe4b219fa804843a951::HCC1954,amplicon2,0,No-FSCNA
6a581fe4b219fa804843a951::HCC1954,amplicon3,0,No-FSCNA
6a581fe4b219fa804843a951::HCC1954,amplicon4,0,No-FSCNA
6a581fe4b219fa804843a951::HCC1954,amplicon5,0,No-FSCNA
6a581fe4b219fa804843a951::HCC1954,amplicon6,0,No-FSCNA
6a581fe4b219fa804843a951::HCC1954,amplicon7,0,No-FSCNA
6a581fe4b219fa804843a951::HCC1954,amplicon8,0,No-FSCNA
6a581fe4b219fa804843a951::HCC1954,amplicon9,0.000190312776559,No-FSCNA
6a581fe4b219fa804843a951::HCC827,amplicon1,0.168507712034,Complex-non-cyclic
6a581fe4b219fa804843a951::HCC827,amplicon2,0.207869085411,Complex-non-cyclic
6a581fe4b219fa804843a951::HCC827,amplicon3,0.647654298814,Cyclic
6a581fe4b219fa804843a951::HCC827,amplicon4,0,Linear
6a581fe4b219fa804843a951::HCC827,amplicon5,0,Linear
6a581fe4b219fa804843a951::HCC827,amplicon6,0,Complex-non-cyclic
6a581fe4b219fa804843a951::IMR-5_75,amplicon1,0.914606671545,Cyclic
6a581fe4b219fa804843a951::PC3DM_mono,amplicon1,0.0203835436189,Linear
6a581fe4b219fa804843a951::PC3DM_mono,amplicon10,0,Linear
6a581fe4b219fa804843a951::PC3DM_mono,amplicon11,0,Complex-non-cyclic
6a581fe4b219fa804843a951::PC3DM_mono,amplicon12,0,Linear
6a581fe4b219fa804843a951::PC3DM_mono,amplicon13,0,No-FSCNA
6a581fe4b219fa804843a951::PC3DM_mono,amplicon14,0,Linear
6a581fe4b219fa804843a951::PC3DM_mono,amplicon2,0,Linear
6a581fe4b219fa804843a951::PC3DM_mono,amplicon3,0,Linear
6a581fe4b219fa804843a951::PC3DM_mono,amplicon4,0.802901889113,Cyclic
6a581fe4b219fa804843a951::PC3DM_mono,amplicon5,0,Complex-non-cyclic
6a581fe4b219fa804843a951::PC3DM_mono,amplicon6,0,Linear
6a581fe4b219fa804843a951::PC3DM_mono,amplicon7,0,Linear
6a581fe4b219fa804843a951::PC3DM_mono,amplicon8,0,Linear
6a581fe4b219fa804843a951::PC3DM_mono,amplicon9,0,Linear
6a581fe4b219fa804843a951::PC3HSR_mono,amplicon1,0.0323932461609,Complex-non-cyclic
6a581fe4b219fa804843a951::PC3HSR_mono,amplicon10,0,Linear
6a581fe4b219fa804843a951::PC3HSR_mono,amplicon2,0,Linear
6a581fe4b219fa804843a951::PC3HSR_mono,amplicon3,0,Linear
6a581fe4b219fa804843a951::PC3HSR_mono,amplicon4,0.864569261583,Cyclic
6a581fe4b219fa804843a951::PC3HSR_mono,amplicon5,0,Linear
6a581fe4b219fa804843a951::PC3HSR_mono,amplicon6,0,Linear
6a581fe4b219fa804843a951::PC3HSR_mono,amplicon7,0.87912040867,Cyclic
6a581fe4b219fa804843a951::PC3HSR_mono,amplicon8,0,Linear
6a581fe4b219fa804843a951::PC3HSR_mono,amplicon9,0,Linear
6a581fe4b219fa804843a951::SKBR3,amplicon1,0,Complex-non-cyclic
6a581fe4b219fa804843a951::SKBR3,amplicon2,0.843064367395,Complex-non-cyclic
6a581fe4b219fa804843a951::SKBR3,amplicon3,0,Complex-non-cyclic
6a581fe4b219fa804843a951::SNU16,amplicon1,0.972382949125,Cyclic
6a581fe4b219fa804843a951::TR14,amplicon1,0.838931993366,Cyclic
6a581fe4b219fa804843a951::TR14,amplicon2,0.981344978394,Cyclic
6a581fe4b219fa804843a951::TR14,amplicon3,0.951701576571,Cyclic
6a581fe4b219fa804843a951::TR14,amplicon4,0.97708463519,Cyclic
